epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,876.689,1.45539,1.95618,1.32325,0.32572,0.32211,0.25512,0.16502,1.28183,1.89862,1.21395,0.000333143,0.000333143,0.0670189
2,1687.98,1.44659,1.95202,1.31983,0.32541,0.32336,0.25601,0.16651,1.26844,1.89579,1.20774,0.000660537,0.000660537,0.0340129
3,2576.5,1.44743,1.954,1.31898,0.32588,0.32434,0.25759,0.16557,1.28373,1.89978,1.21191,0.000981991,0.000981991,0.00100104
4,3441.31,1.45617,1.96027,1.32081,0.32265,0.3193,0.25234,0.16286,1.28748,1.90634,1.21321,0.000973267,0.000973267,0.000973267
5,4258.04,1.45483,1.95996,1.32317,0.31889,0.31555,0.25147,0.16203,1.28348,1.91412,1.21173,0.000964356,0.000964356,0.000964356
6,5147.87,1.45653,1.96222,1.32321,0.32289,0.31358,0.24824,0.15902,1.29877,1.92767,1.2148,0.000955446,0.000955446,0.000955446
7,6040.97,1.45271,1.95682,1.32146,0.31372,0.31629,0.24643,0.16017,1.28419,1.92032,1.21421,0.000946535,0.000946535,0.000946535
8,6922.17,1.45029,1.95106,1.31894,0.31567,0.31599,0.2468,0.1595,1.28472,1.91573,1.21415,0.000937624,0.000937624,0.000937624
9,7841.18,1.45312,1.95871,1.31955,0.31831,0.31203,0.24658,0.15965,1.28149,1.9205,1.21156,0.000928713,0.000928713,0.000928713
10,8646.19,1.4572,1.95633,1.32112,0.32033,0.31545,0.25143,0.16313,1.27997,1.91056,1.21173,0.000919802,0.000919802,0.000919802
11,9555.62,1.45244,1.94982,1.31598,0.32391,0.31932,0.25473,0.16574,1.27956,1.89858,1.21082,0.000910891,0.000910891,0.000910891
12,10369.3,1.44891,1.94572,1.31618,0.32272,0.31789,0.25453,0.16488,1.27519,1.90196,1.2104,0.00090198,0.00090198,0.00090198
13,11158.4,1.44947,1.94784,1.31737,0.31627,0.31576,0.25002,0.16241,1.27806,1.91001,1.21092,0.000893069,0.000893069,0.000893069
14,11951.6,1.45304,1.95051,1.32081,0.32148,0.31693,0.2518,0.16343,1.28689,1.90766,1.21313,0.000884158,0.000884158,0.000884158
15,12744.8,1.44718,1.94516,1.31407,0.32309,0.32044,0.25535,0.16556,1.28008,1.89869,1.20924,0.000875248,0.000875248,0.000875248
