epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2020.57,1.81644,3.56961,1.8801,0.17491,0.13543,0.07686,0.04106,1.6905,3.14225,1.82414,0.00166619,0.00166619,0.0683424
2,4033.26,1.7526,3.11422,1.83666,0.21389,0.14241,0.1025,0.05455,1.6933,2.95414,1.8321,0.0030329,0.0030329,0.0363758
3,6051.06,1.77625,3.03031,1.85656,0.23404,0.13743,0.11354,0.06085,1.71148,2.91492,1.83075,0.00409961,0.00409961,0.00410913
4,8066.1,1.78079,2.97349,1.86486,0.23813,0.15093,0.12216,0.06673,1.66787,2.83288,1.82688,0.00365,0.00365,0.00365
5,10232.6,1.72122,2.86457,1.8167,0.25141,0.17024,0.13659,0.07439,1.63696,2.75586,1.77908,0.0032,0.0032,0.0032
6,12785.7,1.66928,2.77134,1.77199,0.25733,0.19145,0.14615,0.0814,1.59409,2.68586,1.75219,0.00275,0.00275,0.00275
7,14924.6,1.62394,2.69953,1.74088,0.27659,0.19799,0.16132,0.09162,1.5603,2.63051,1.72301,0.0023,0.0023,0.0023
8,17037,1.58293,2.63396,1.70466,0.28843,0.20982,0.17446,0.10037,1.52757,2.55462,1.69001,0.00185,0.00185,0.00185
9,19136.6,1.54761,2.57133,1.67579,0.29445,0.22291,0.18093,0.10508,1.49497,2.52696,1.6654,0.0014,0.0014,0.0014
10,21305.1,1.51351,2.52138,1.65176,0.29591,0.2296,0.18765,0.10955,1.47782,2.48721,1.6507,0.00095,0.00095,0.00095
