epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,435.208,1.94881,3.03397,1.68503,0.16991,0.11214,0.0649,0.0347,1.98327,2.96345,1.66879,0.00333143,0.00333143,0.0700171
2,901.797,1.96011,2.71061,1.63984,0.21479,0.11921,0.07451,0.03811,2.0233,2.96686,1.69983,0.00659943,0.00659943,0.0399518
3,1347.93,2.02077,2.74106,1.66906,0.1665,0.12043,0.0713,0.03497,2.03374,2.85595,1.76899,0.00980209,0.00980209,0.00982114
4,1791.13,2.02315,2.73676,1.67315,0.20305,0.14347,0.09921,0.05081,1.93568,2.65869,1.63155,0.00970594,0.00970594,0.00970594
5,2214.7,1.9466,2.63782,1.62048,0.23937,0.16129,0.11813,0.0643,1.77954,2.52718,1.54662,0.00960792,0.00960792,0.00960792
6,2648.9,1.88925,2.58161,1.59009,0.24794,0.18859,0.13808,0.07661,1.70077,2.42177,1.48292,0.0095099,0.0095099,0.0095099
7,3102.99,1.85582,2.52888,1.56977,0.26125,0.19795,0.1468,0.08096,1.69101,2.38139,1.4737,0.00941188,0.00941188,0.00941188
8,3558.96,1.83102,2.50096,1.55349,0.26533,0.20887,0.15403,0.08729,1.6264,2.34979,1.42993,0.00931386,0.00931386,0.00931386
9,3989.43,1.80599,2.46541,1.53783,0.27314,0.21463,0.16211,0.09466,1.58091,2.3113,1.40919,0.00921584,0.00921584,0.00921584
10,4451.05,1.78496,2.43858,1.52482,0.2836,0.22604,0.17759,0.10489,1.54121,2.24397,1.37956,0.00911782,0.00911782,0.00911782
11,4914.9,1.77144,2.42052,1.5167,0.28229,0.24962,0.18424,0.10828,1.51598,2.2107,1.35818,0.0090198,0.0090198,0.0090198
12,5392.3,1.76104,2.39497,1.50575,0.28706,0.24145,0.18504,0.11025,1.48678,2.19045,1.34074,0.00892178,0.00892178,0.00892178
13,5902.85,1.75055,2.38051,1.49957,0.2938,0.25162,0.19621,0.11732,1.48202,2.16413,1.3474,0.00882376,0.00882376,0.00882376
14,6339.24,1.73359,2.35935,1.49122,0.30448,0.25303,0.20043,0.12132,1.45257,2.14164,1.328,0.00872574,0.00872574,0.00872574
15,6772.49,1.72612,2.3588,1.48651,0.29494,0.24843,0.19705,0.11978,1.44708,2.14157,1.32491,0.00862772,0.00862772,0.00862772
16,7220.14,1.7131,2.34074,1.48072,0.30472,0.25603,0.20449,0.12606,1.41661,2.11245,1.30419,0.0085297,0.0085297,0.0085297
17,7674.62,1.71051,2.33071,1.47636,0.29403,0.26663,0.20347,0.12455,1.42001,2.10708,1.30591,0.00843168,0.00843168,0.00843168
18,8155.49,1.70199,2.32011,1.47009,0.29867,0.26629,0.20691,0.12725,1.41835,2.09581,1.30418,0.00833366,0.00833366,0.00833366
