epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,830.294,1.94916,3.03431,1.68304,0.18825,0.10357,0.06363,0.03388,1.92788,3.07257,1.67012,0.00333143,0.00333143,0.0700171
2,1632.17,1.96054,2.73023,1.64019,0.17553,0.12925,0.07874,0.04054,1.98158,2.81692,1.72871,0.00659943,0.00659943,0.0399518
3,2430.17,2.02278,2.75346,1.67096,0.18025,0.12053,0.0772,0.03811,2.04117,2.84926,1.71619,0.00980209,0.00980209,0.00982114
4,3229,2.02813,2.73592,1.66859,0.20089,0.13139,0.0883,0.04459,1.93164,2.75944,1.61961,0.00970594,0.00970594,0.00970594
5,4023.83,1.95483,2.65375,1.62554,0.24639,0.17455,0.12189,0.06531,1.77558,2.52929,1.55819,0.00960792,0.00960792,0.00960792
6,4817.93,1.90177,2.58928,1.59126,0.24237,0.19301,0.13855,0.07645,1.67369,2.42991,1.49069,0.0095099,0.0095099,0.0095099
7,5613.13,1.86295,2.54216,1.57321,0.24474,0.20086,0.14585,0.08198,1.65831,2.38795,1.45002,0.00941188,0.00941188,0.00941188
8,6409,1.8315,2.50375,1.54989,0.25905,0.21953,0.15686,0.08872,1.63167,2.30971,1.42475,0.00931386,0.00931386,0.00931386
9,7209.35,1.81582,2.47926,1.54086,0.27073,0.22492,0.16337,0.09389,1.57683,2.29585,1.39499,0.00921584,0.00921584,0.00921584
10,8005.83,1.79575,2.45527,1.52743,0.27566,0.23218,0.17464,0.10095,1.56207,2.2338,1.37553,0.00911782,0.00911782,0.00911782
11,8801.14,1.77677,2.43024,1.51532,0.28393,0.22946,0.17958,0.10522,1.53643,2.23397,1.37384,0.0090198,0.0090198,0.0090198
12,9596.22,1.76377,2.40678,1.50586,0.28637,0.23996,0.1823,0.10812,1.51286,2.20026,1.35533,0.00892178,0.00892178,0.00892178
13,10398.5,1.75233,2.39622,1.49964,0.28372,0.2502,0.19371,0.11621,1.48464,2.164,1.33254,0.00882376,0.00882376,0.00882376
14,11196.2,1.74433,2.38489,1.49604,0.29082,0.25667,0.19776,0.11953,1.47275,2.13981,1.33024,0.00872574,0.00872574,0.00872574
